_key,_id,_rev,buyerID,name,phone,email,address
157e4d7c-550e-4b5a-ac47-762612e62cb7,Buyers/157e4d7c-550e-4b5a-ac47-762612e62cb7,_g1-qbwW---,B00001,辛淑芬,0995489050,uzhou@example.com,79324 卑南縣中興路2段38號7樓
b9d237a3-a554-4a55-91ed-ad4e019a1176,Buyers/b9d237a3-a554-4a55-91ed-ad4e019a1176,_g1-qbwq---,B00002,何佳樺,0964072811,cfu@example.net,874 連江市育英路3段38號之3
a4fccd5c-5e82-4ea1-aeaa-a567c1d7d711,Buyers/a4fccd5c-5e82-4ea1-aeaa-a567c1d7d711,_g1-qbwy---,B00003,吳琬婷,0936046051,hhou@example.org,57223 平鎮動物園街3號之5
b70fe93e-b31a-4796-bd6a-755937210525,Buyers/b70fe93e-b31a-4796-bd6a-755937210525,_g1-qbw6---,B00004,黎怡君,(06) 17166234,lei65@example.com,284 中壢縣新北投街77號0樓
14f98fbc-bcfa-4ad5-8149-1c33c56a1303,Buyers/14f98fbc-bcfa-4ad5-8149-1c33c56a1303,_g1-qbxC---,B00005,黃懿,(06) 79978765,rxue@example.net,55633 高雄市紅樹林路28號0樓
e0ad2ed6-45a0-4cf9-a80e-604f2ade3b34,Buyers/e0ad2ed6-45a0-4cf9-a80e-604f2ade3b34,_g1-qbxG---,B00006,段婷婷,05 8817278,vzhao@example.com,936 桃園縣新店路1號4樓
c43970cf-bda3-4d61-802e-4869e2798317,Buyers/c43970cf-bda3-4d61-802e-4869e2798317,_g1-qbxO---,B00007,陳俊傑,(05) 22879573,dengna@example.org,71805 梅山民權路14號之3
acc33eb6-cffd-46e3-875e-c5c2b3d0e2c8,Buyers/acc33eb6-cffd-46e3-875e-c5c2b3d0e2c8,_g1-qbxW---,B00008,陳怡如,086 40134882,pchen@example.com,363 太保明德巷5號9樓
70c9eeeb-48f3-4cf8-a9fc-e095417d9cfc,Buyers/70c9eeeb-48f3-4cf8-a9fc-e095417d9cfc,_g1-qbxi---,B00009,洪淑貞,(04) 39991576,taoluo@example.net,48902 桃園市永寧路2段51號0樓
be92a445-a4aa-41c2-b0f5-4cccdec5e234,Buyers/be92a445-a4aa-41c2-b0f5-4cccdec5e234,_g1-qbxq---,B00010,劉雅雯,0999831512,wanxiulan@example.com,99716 關山中山街4段8號9樓
0f6e503d-c101-4eb4-aa70-50e153afd79c,Buyers/0f6e503d-c101-4eb4-aa70-50e153afd79c,_g1-qbxy---,B00011,嚴淑芬,0983-179155,qinjuan@example.org,434 北港林森巷5號之3
2ca3f270-aff2-400a-a615-f68d20c358b4,Buyers/2ca3f270-aff2-400a-a615-f68d20c358b4,_g1-qbx6---,B00012,宋佩珊,(04) 56171629,qianjun@example.org,28530 苗栗縣三民街924號1樓
b47a140e-c618-4683-8666-f25be3a3ca95,Buyers/b47a140e-c618-4683-8666-f25be3a3ca95,_g1-qby----,B00013,葉雅婷,09 8339890,jjin@example.org,42765 高雄紅樹林街6段672號之4
6ecb3490-162c-42f1-bbf5-656e339b9f26,Buyers/6ecb3490-162c-42f1-bbf5-656e339b9f26,_g1-qbyG---,B00014,馬雅萍,0903741323,qlu@example.net,75824 關山縣復興路920號之9
3ead3d15-af54-47b2-98a9-6029e08851b6,Buyers/3ead3d15-af54-47b2-98a9-6029e08851b6,_g1-qbyO---,B00015,張俊賢,07 4626894,leimin@example.net,232 鳳山民富路22號3樓
178c059e-7737-418e-aa8b-c339ee8bd3e3,Buyers/178c059e-7737-418e-aa8b-c339ee8bd3e3,_g1-qbyS---,B00016,劉淑貞,(01) 87041325,isong@example.org,678 楊梅市忠孝路8號3樓
ee0c1377-6dda-4bdc-9136-627285ea014c,Buyers/ee0c1377-6dda-4bdc-9136-627285ea014c,_g1-qbye---,B00017,邱佳玲,(04) 96214711,gaoqiang@example.net,509 蘆竹縣國凱八德巷343號之3
48fe073a-2ddc-486e-9c84-b50d4616d656,Buyers/48fe073a-2ddc-486e-9c84-b50d4616d656,_g1-qbym---,B00018,劉佳蓉,062 81884391,fyuan@example.org,46556 台南市博愛巷3號2樓
f8bbcd96-711a-448d-b07e-7a4d4b26dbe7,Buyers/f8bbcd96-711a-448d-b07e-7a4d4b26dbe7,_g1-qbyq---,B00019,呂郁雯,0996937983,pingduan@example.com,165 太保土城街1號之6
946b4fdd-747c-450a-a672-705cadf27d9b,Buyers/946b4fdd-747c-450a-a672-705cadf27d9b,_g1-qbyy---,B00020,王宇軒,06-8908934,xiulansu@example.com,82209 新竹民有街640號3樓
414209e5-4e1c-4493-b94d-5c757ef5498a,Buyers/414209e5-4e1c-4493-b94d-5c757ef5498a,_g1-qby2---,B00021,王思穎,0931148218,ilu@example.org,89455 中壢縣頂福州巷472號之8
942b8a09-7749-49ed-8e4f-aa1e160fdbbf,Buyers/942b8a09-7749-49ed-8e4f-aa1e160fdbbf,_g1-qbz----,B00022,張思穎,(05) 85345448,wlu@example.org,12832 馬公大坪巷3號8樓
19e0349c-b77a-4ee6-a39f-16024843a796,Buyers/19e0349c-b77a-4ee6-a39f-16024843a796,_g1-qbzC---,B00023,謝惠如,(09) 57945715,chao77@example.com,59145 蘆竹市華興巷388號之3
023bdaa5-8f78-44da-8ec6-d905919a733b,Buyers/023bdaa5-8f78-44da-8ec6-d905919a733b,_g1-qbzK---,B00024,謝瑋婷,0998360147,xkong@example.org,137 永康民富街566號之7
b8c91598-28f2-405c-b0ef-db99af967df3,Buyers/b8c91598-28f2-405c-b0ef-db99af967df3,_g1-qbzS---,B00025,黃郁雯,04 1548717,liulei@example.com,621 大里正義巷59號6樓
ccecea10-1fad-40b2-9e9c-b15eb75e3947,Buyers/ccecea10-1fad-40b2-9e9c-b15eb75e3947,_g1-qbzW---,B00026,葛美玲,(01) 23025452,axie@example.org,710 八德淡水巷15號3樓
a50895d3-eeda-4ff3-8fd5-c5c3ddfdffc5,Buyers/a50895d3-eeda-4ff3-8fd5-c5c3ddfdffc5,_g1-qbze---,B00027,趙惠婷,(04) 30619026,yong74@example.net,46324 光復縣昆陽路93號2樓
7ef0ed60-0caa-41e7-9773-f89e7e9f65b1,Buyers/7ef0ed60-0caa-41e7-9773-f89e7e9f65b1,_g1-qbzi---,B00028,何建宏,0941-988875,jingzhang@example.net,22047 臺中延平巷91號之4
ab2922d6-2360-4209-ad5d-7b51bc98535c,Buyers/ab2922d6-2360-4209-ad5d-7b51bc98535c,_g1-qbzq---,B00029,葛俊賢,0941065284,qinxiulan@example.net,571 古坑縣奇岩路5號之7
af72ca79-6fde-44c6-b4f6-8ebd1552f1c5,Buyers/af72ca79-6fde-44c6-b4f6-8ebd1552f1c5,_g1-qbzu---,B00030,韋雅筑,0995-214218,tao93@example.org,37119 蘆竹市文山路4號5樓
59d02175-1d34-4eb4-8223-fbeb2bc5ac1a,Buyers/59d02175-1d34-4eb4-8223-fbeb2bc5ac1a,_g1-qbzy---,B00031,王美玲,0962118156,bli@example.org,667 卑南正義巷1段293號之7
9fe3e086-c877-4342-815f-c9d7d3155018,Buyers/9fe3e086-c877-4342-815f-c9d7d3155018,_g1-qbz6---,B00032,豆琬婷,09-64030975,dtan@example.org,82529 大里縣博愛巷421號之7
f19cccd8-8a0b-4cde-9278-ccd835a0d040,Buyers/f19cccd8-8a0b-4cde-9278-ccd835a0d040,_g1-qb0----,B00033,張婷婷,02-92309717,xiuyingli@example.org,11916 古坑市劍潭路4號之2
74423b2e-b6a4-4e7d-9844-2d5ef42aabad,Buyers/74423b2e-b6a4-4e7d-9844-2d5ef42aabad,_g1-qb0C---,B00034,盧淑玲,(06) 12837483,sxiang@example.org,26206 雲林市永安街6段3號9樓
77b4e4d1-fa66-4e54-8378-4368a9efdbd4,Buyers/77b4e4d1-fa66-4e54-8378-4368a9efdbd4,_g1-qb0K---,B00035,張淑貞,036 18955599,jqiu@example.com,380 北港市大仁巷31號之6
861b6f54-e3a8-46ce-9a26-ea2afd193e61,Buyers/861b6f54-e3a8-46ce-9a26-ea2afd193e61,_g1-qb0O---,B00036,高俊傑,0953-982233,nagong@example.com,77280 褒忠東湖路2號之3
3ed8a9a6-c31c-4544-9784-623d8fa53b08,Buyers/3ed8a9a6-c31c-4544-9784-623d8fa53b08,_g1-qb0S---,B00037,婁羽,0902-006099,naxie@example.net,67251 牡丹市光復巷692號之1
e43894f5-da9a-402f-8f92-9029bcba1227,Buyers/e43894f5-da9a-402f-8f92-9029bcba1227,_g1-qb0a---,B00038,高欣怡,(03) 30651703,denglei@example.org,68667 八德縣紅樹林路1號0樓
1f5598d3-c3d1-415a-b436-b16dee2b1b34,Buyers/1f5598d3-c3d1-415a-b436-b16dee2b1b34,_g1-qb0e---,B00039,黃淑惠,0928-341881,chao94@example.org,36909 朴子信義街89號5樓
a1282635-c86d-450e-bcfa-e1b1aeb37761,Buyers/a1282635-c86d-450e-bcfa-e1b1aeb37761,_g1-qb0i---,B00040,陸家瑋,0914634049,acheng@example.net,10668 汐止劍潭巷72號1樓
507a03d7-e910-47a7-9cbe-e6e87976446b,Buyers/507a03d7-e910-47a7-9cbe-e6e87976446b,_g1-qb0m---,B00041,何志偉,02-44188160,ping08@example.net,427 斗六縣南街598號之5
bd1f096c-f6d2-4fd9-a7ac-1732b99c0cd3,Buyers/bd1f096c-f6d2-4fd9-a7ac-1732b99c0cd3,_g1-qb0u---,B00042,康宜君,03-2991369,lxu@example.com,44991 豐原縣廣慈巷1段6號0樓
a5e7e180-7178-48b8-b4e7-9fa4f6c59d23,Buyers/a5e7e180-7178-48b8-b4e7-9fa4f6c59d23,_g1-qb0y---,B00043,王佩珊,08 1164588,swu@example.com,222 桃園市民富路732號之0
