_key,_id,_rev,offerDate,supplierID,supplierKey,supplierName,phone,itemKeyList
a9bd42b5-7e14-4470-a8aa-fd619f790d3a,SupplierOffers/a9bd42b5-7e14-4470-a8aa-fd619f790d3a,_hwmDeF2---,2024-03-15,S00808,96bfb090-a21e-43ce-a79b-236f530e8cf7,傅宜君,0986-165329,"[object Object],[object Object],[object Object]"
7453a87f-d7ed-4fa7-95b3-782649ffe467,SupplierOffers/7453a87f-d7ed-4fa7-95b3-782649ffe467,_hwmDeG2---,2024-03-15,S00568,72715caa-b725-43c5-8eec-268a6174c11b,王雅玲,04-1066958,"[object Object],[object Object]"
986ea6e4-3b2c-498c-9cb6-a29e24a37e50,SupplierOffers/986ea6e4-3b2c-498c-9cb6-a29e24a37e50,_hwmDeIS---,2024-03-15,S00726,6b73a196-c361-4e70-9f67-5d80943a0c90,高家瑜,0927207875,"[object Object],[object Object],[object Object]"
019ff05d-21ab-4db3-bd4a-a88873381fdd,SupplierOffers/019ff05d-21ab-4db3-bd4a-a88873381fdd,_hwmDeKC---,2024-03-15,S00787,1cb85e27-eba2-4029-abb3-3915d42d108b,劉家豪,05 5623397,"[object Object],[object Object],[object Object],[object Object]"
deed4e7a-257e-4f69-b587-a15af67b0b84,SupplierOffers/deed4e7a-257e-4f69-b587-a15af67b0b84,_hwmDeLG---,2024-03-15,S00776,698c4954-e8bc-461b-8f11-e534320c357c,梁信宏,01 4539458,"[object Object],[object Object]"
8348f369-7d5f-43c9-ad19-24961bfb0635,SupplierOffers/8348f369-7d5f-43c9-ad19-24961bfb0635,_hwmDeMS---,2024-03-15,S00035,dd5f5c31-7146-479b-a760-57bd86d71758,楊宜君,02-7023808,"[object Object],[object Object],[object Object]"
7fa3f36c-52a0-45a3-aa75-5a43d97cfced,SupplierOffers/7fa3f36c-52a0-45a3-aa75-5a43d97cfced,_hwmDeM6---,2024-03-15,S00389,b7dcb625-d5ba-4924-9926-d869dd356baa,王怡安,0930-412540,[object Object]
46bff1cf-f7e7-403c-9d39-9bbb3c7ea208,SupplierOffers/46bff1cf-f7e7-403c-9d39-9bbb3c7ea208,_hwmDeNq---,2024-03-15,S00613,c4d8b83c-02ba-4b9a-b7d6-1bf84fdf3ef6,楊佩君,06 6809566,[object Object]
021d229f-552e-4421-b28d-0d3f97d4cc35,SupplierOffers/021d229f-552e-4421-b28d-0d3f97d4cc35,_hwmDeOq---,2024-03-15,S00754,455c214a-bad3-4579-98e6-eb1052d3a66f,胡詩婷,00-7174409,"[object Object],[object Object]"
3d0383bb-74fb-4d37-8ad4-4ad16629e4f7,SupplierOffers/3d0383bb-74fb-4d37-8ad4-4ad16629e4f7,_hwmDePm---,2024-03-15,S00761,94806fa2-daa6-4139-ad1b-641fbe47932a,劉淑華,06-89445466,"[object Object],[object Object]"
09bd5273-fcb6-4dae-aeb7-f17d483675d8,SupplierOffers/09bd5273-fcb6-4dae-aeb7-f17d483675d8,_hwmDeQm---,2024-03-15,S00959,21e74ee3-a525-48eb-99e6-9af260fd8b5d,劉琬婷,02 4894282,"[object Object],[object Object]"
8bf54eb0-22da-44f1-aa86-84e7a34793d6,SupplierOffers/8bf54eb0-22da-44f1-aa86-84e7a34793d6,_hwmDeRy---,2024-03-15,S00918,7444c8e3-6311-4b18-a9dc-4509b74ed6d0,傅中山,(03) 26905432,"[object Object],[object Object],[object Object]"
