_key,_id,_rev,supplierID,name,phone,email,address
11048395-f441-4b91-b725-6349b2b60031,Suppliers/11048395-f441-4b91-b725-6349b2b60031,_g1-qaSy---,S00001,劉靜宜,0919061498,qiuguiying@example.org,17515 蘆洲縣頂福州路28號之6
5ce039a8-2a0a-47eb-b231-73312df4dde4,Suppliers/5ce039a8-2a0a-47eb-b231-73312df4dde4,_g1-qaTG---,S00002,農欣怡,(07) 48724099,mingcai@example.com,82406 台南縣大仁路2段3號之4
c9ebbdab-b643-40e4-9887-061d3f8c3d8b,Suppliers/c9ebbdab-b643-40e4-9887-061d3f8c3d8b,_g1-qaTO---,S00003,段威廷,041 87310737,fang64@example.com,34293 北斗縣育英街674號9樓
cf605a2e-3789-436b-9300-7f573c163396,Suppliers/cf605a2e-3789-436b-9300-7f573c163396,_g1-qaTa---,S00004,李冠霖,08-32049987,min25@example.net,554 樹林縣永安路1段1號6樓
14542e06-4514-479e-9106-a6ef5a1489b4,Suppliers/14542e06-4514-479e-9106-a6ef5a1489b4,_g1-qaTi---,S00005,顧婷婷,0940-574112,qpeng@example.com,384 蘆竹復興路8號4樓
ee5d8718-6c71-4ab8-9f46-28f3020e0751,Suppliers/ee5d8718-6c71-4ab8-9f46-28f3020e0751,_g1-qaTm---,S00006,王美琪,0943-523370,xiadu@example.com,200 太保市劍潭路47號8樓
90de7ab3-fa4c-4972-9953-1792d02033ec,Suppliers/90de7ab3-fa4c-4972-9953-1792d02033ec,_g1-qaTy---,S00007,羅宜君,0979175094,yang29@example.net,56044 新北縣文化路859號之6
c7391913-f1cd-4f90-b34d-e81586960c39,Suppliers/c7391913-f1cd-4f90-b34d-e81586960c39,_g1-qaT6---,S00008,趙柏翰,(03) 78854159,yanren@example.com,900 北港新埔街67號之3
af76ef66-7cb3-4f19-a5df-e98797e11bc0,Suppliers/af76ef66-7cb3-4f19-a5df-e98797e11bc0,_g1-qaUC---,S00009,蕭沖,02-36444354,xduan@example.net,11888 豐原市大仁街85號4樓
d7b71641-cd15-4b92-a63b-6c871d54d4db,Suppliers/d7b71641-cd15-4b92-a63b-6c871d54d4db,_g1-qaUK---,S00010,孫惠雯,(06) 75796543,gang82@example.net,314 太保新莊巷1號之3
f0f88776-138b-4148-82dd-35d90e827831,Suppliers/f0f88776-138b-4148-82dd-35d90e827831,_g1-qaUS---,S00011,張佩珊,(01) 23603706,fsu@example.net,411 馬公大勇巷1號1樓
90397fa9-feed-4c32-9416-8421ea87801c,Suppliers/90397fa9-feed-4c32-9416-8421ea87801c,_g1-qaUW---,S00012,孫婉婷,0926-982813,lfan@example.net,70406 竹北縣關渡路9號之3
